Ano;Total;Categoria
2001;;Offshore
2002;;Offshore
2003;;Offshore
2004;;Offshore
2005;;Offshore
2006;0;Offshore
2007;1;Offshore
2008;1;Offshore
2009;2;Offshore
2010;3;Offshore
2011;4;Offshore
2012;5;Offshore
2013;7;Offshore
2014;8;Offshore
2015;12;Offshore
2016;14;Offshore
2017;19;Offshore
2018;23;Offshore
2019;29;Offshore
2020;35;Offshore
2001;24;Onshore
2002;31;Onshore
2003;39;Onshore
2004;47;Onshore
2005;58;Onshore
2006;73;Onshore
2007;93;Onshore
2008;119;Onshore
2009;157;Onshore
2010;195;Onshore
2011;234;Onshore
2012;278;Onshore
2013;312;Onshore
2014;362;Onshore
2015;421;Onshore
2016;473;Onshore
2017;522;Onshore
2018;568;Onshore
2019;621;Onshore
2020;707;Onshore
